Inventory
Id;title;subtitle;Authors;publisher;storingLocation;comment;;;;
ec6259abe4fd5f93a26bd97a0e7553bd;Die Entscheidung liegt bei dir!;Wege aus der alltäglichen Unzufriedenheit;Reinhard K. Sprenger;campus;CrowdFarming Box 5;;;;;
2cfa662a65ccecc10967a80217cc34db;UTOPIA FOR REALISTS;AND HOW WE CAN GET THERE;Rutger Bregman;Bloomsbury;CrowdFarming Box 5;;;;;
c5fdb0c0f72c2df2fef7718e06965dde;Die Wanderhure;;Iny Lorentz;Knaur;CrowdFarming Box 6;;;;;
;Das Vermächtnis der Wanderhure;;Iny Lorentz;Knaur;CrowdFarming Box 6;;;;;
;Die Kastellanin;;Iny Lorentz;Knaur;CrowdFarming Box 6;;;;;
;Die Pilgerin;;Iny Lorentz;Knaur;CrowdFarming Box 6;;;;;
;Die Feuerbraut;;Iny Lorentz;Knaur;CrowdFarming Box 6;;;;;
;Die Tochter der Wanderhure;;Iny Lorentz;Knaur;CrowdFarming Box 6;;;;;
;Die Mission des Wanderchirurgen;;Wolf Serno;Knaur;CrowdFarming Box 6;;;;;
;Karl Popper;Logic of Scientific Discovery;Karl Popper;Routledge;CrowdFarming Box 6;;;;;
;Einfach Freunde;;Abdel Sellou;Ulstein;CrowdFarming Box 6;;;;;
;Le Second Souffle;;Philippe Pozzo die Borgo;Le Livre de Poche;CrowdFarming Box 6;;;;;
;Der Herr der Ringe;Die Gefährten;J.R.R. Tolkien;Klett-Cotta;CrowdFarming Box 6;;;;;
;Der Herr der Ringe;Die zwei Türme;J.R.R. Tolkien;Klett-Cotta;CrowdFarming Box 6;;;;;
;Der Herr der Ringe;Die Wiederkehr des Königs;J.R.R. Tolkien;Klett-Cotta;CrowdFarming Box 6;;;;;
;Ein Hauch von Schnee und Asche;;Diana Gabaldon;blanvalet;CrowdFarming Box 6;;;;;
;Das letzte Königreich;;Bernard Cornwell;rororo;CrowdFarming Box 6;;;;;
;Das Gottes Grab;;Will Adams;rororo;CrowdFarming Box 6;;;;;
;Königin des Südens;;Arturo Pérez-Reverete ;List;CrowdFarming Box 7;;;;;
;Voyeur;;Simon Beckett;rororo;CrowdFarming Box 7;;;;;
;Die Chemie des Todes;;Simon Beckett;rororo;CrowdFarming Box 7;;;;;
;Kalte Asche;;Simon Beckett;rororo;CrowdFarming Box 7;;;;;
;Der Hof;;Simon Beckett;rororo;CrowdFarming Box 7;;;;;
;Limit;;Frank Schätzing;Fischer;CrowdFarming Box 7;;;;;
;Lautlos;;Frank Schätzing;Fischer;CrowdFarming Box 7;;;;;
;Der Schwarm;;Frank Schätzing;Fischer;CrowdFarming Box 7;;;;;
;Die Kampagne;;David Baldacci;Bastei Lübbe;CrowdFarming Box 7;;;;;
;I, Robot:;to protect;Mickey Zucker Reichert;RoC;CrowdFarming Box 7;;;;;
;I, Robot:;to obey;Mickey Zucker Reichert;RoC;CrowdFarming Box 7;;;;;
;Brian’s Brain;;Angela Hildebrand, Stephan Richard Meier;Hilderbrand;CrowdFarming Box 7;;;;;
;Die Apollo Morde;;Chris Hadfield;dtv;CrowdFarming Box 7;;;;;
;Stolz & Vorurteil;;Jane Austen;Nikol;CrowdFarming Box 7;;;;;
;Sofies Welt;Roman über die Geschichte der Philosophie;Jostein Gaarder;dtv;CrowdFarming Box 7;;;;;
;Gone Girl;Das perfekte Opfer;Gillian Flynn;Fischer;CrowdFarming Box 7;;;;;
